id,event_uei,name,reduction_key,clear_key,event_type,enterprise_id,vendor
1962,uei.opennms.org/traps/compaqhp/cpqSs3TempFailed,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1963,uei.opennms.org/traps/compaqhp/cpqSs3TempOk,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1964,uei.opennms.org/traps/compaqhp/cpqSs4PwrSupplyDegraded,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1965,uei.opennms.org/traps/compaqhp/cpqSs5FanStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1966,uei.opennms.org/traps/compaqhp/cpqSs5PwrSupplyStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1967,uei.opennms.org/traps/compaqhp/cpqSs5TempStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1968,uei.opennms.org/traps/compaqhp/cpqSs6FanStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1969,uei.opennms.org/traps/compaqhp/cpqSs6PwrSupplyStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1970,uei.opennms.org/traps/compaqhp/cpqSs6TempStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
1971,uei.opennms.org/traps/compaqhp/cpqSsEx2FanStatusChange,,,,SNMP_TRAP,.1.3.6.1.4.1.232,compaqhp
9,DISCARD-MATCHING-MESSAGES,,,,SNMP_TRAP,,
10,MATCH-ANY-UEI,,,,SNMP_TRAP,,
11,http://uei.opennms.org/vendor/ADIC/traps/doorStateChange,,,,SNMP_TRAP,.1.3.6.1.4.1.3764.3,ADIC
12,http://uei.opennms.org/vendor/ADIC/traps/error,,,,SNMP_TRAP,.1.3.6.1.4.1.3764.3,ADIC
13,http://uei.opennms.org/vendor/ADIC/traps/mailboxStateChange,,,,SNMP_TRAP,.1.3.6.1.4.1.3764.3,ADIC
14,http://uei.opennms.org/vendor/ADIC/traps/sac,,,,SNMP_TRAP,.1.3.6.1.4.1.3764.3,ADIC
15,http://uei.opennms.org/vendor/ADIC/traps/shutdown,,,,SNMP_TRAP,.1.3.6.1.4.1.3764.3,ADIC
16,http://uei.opennms.org/vendor/ADIC/traps/startup,,,,SNMP_TRAP,.1.3.6.1.4.1.3764.3,ADIC
17,http://uei.opennms.org/vendor/BEA/traps/attributechange,,,,SNMP_TRAP,.1.3.6.1.4.1.140.625,BEA
18,http://uei.opennms.org/vendor/BEA/traps/logfilter,,,,SNMP_TRAP,.1.3.6.1.4.1.140.625,BEA
19,http://uei.opennms.org/vendor/BEA/traps/monitortrap,,,,SNMP_TRAP,.1.3.6.1.4.1.140.625,BEA
20,http://uei.opennms.org/vendor/BEA/traps/servershutdown,,,,SNMP_TRAP,.1.3.6.1.4.1.140.625,BEA
21,http://uei.opennms.org/vendor/BEA/traps/serverstart,,,,SNMP_TRAP,.1.3.6.1.4.1.140.625,BEA
22,http://uei.opennms.org/vendor/Nokia/traps/ipsoLBClusterMemberJoin,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.5,Nokia
23,http://uei.opennms.org/vendor/Nokia/traps/ipsoLBClusterMemberLeft,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.5,Nokia
24,http://uei.opennms.org/vendor/Nokia/traps/ipsoLBClusterNewMaster,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.5,Nokia
25,http://uei.opennms.org/vendor/Nokia/traps/ipsoLBClusterNewProtocol,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.5,Nokia
26,http://uei.opennms.org/vendor/Nokia/traps/ipsoLBJoinReject,,,,SNMP_TRAP,.1.3.6.1.4.1.94.1.21.5,Nokia
27,http://uei.opennms.org/vendor/Nokia/traps/noiAlarmAckStateChanged,,,,SNMP_TRAP,.1.3.6.1.4.1.94.7.1.3,Nokia
28,http://uei.opennms.org/vendor/Nokia/traps/noiAlarmChanged,,,,SNMP_TRAP,.1.3.6.1.4.1.94.7.1.3,Nokia
